cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
mass25,6,Actuator_delay,1,0.00854639345981036,0.242897481310575,0.00658277408766039,1065.43917231691,1,none
mass25,7,Actuator_delay,1,0.0086467032016983,0.249472739173803,0.00862961516420197,1052.44392109231,1,none
mass25,8,Actuator_delay,1,0.00898365077510954,0.247816879740801,0.00814493035959761,1002.5459656872,1,none
mass25,9,Actuator_delay,1,0.0080233721930681,0.24272440855411,0.00848627253611496,1116.16609430909,1,none
mass25,10,Actuator_delay,1,0.00670012037275387,0.223973784082738,0.00996995098983608,1117.3220908822,1,none
combined,0,Actuator_delay,0,0.00721385642162924,0.2277360041342,0.00763806337945742,1387.61256552833,1,none
combined,1,Actuator_delay,1,0.00962203916071079,0.255675354693445,0.0106486363476837,1033.1016528522,1,none
combined,2,Actuator_delay,1,0.00818800740280997,0.238214452543295,0.00706351255091136,1006.14948290853,1,none
combined,3,Actuator_delay,1,0.00788261083986252,0.238734099473571,0.00924369407116597,1012.96474417698,1,none
combined,4,Actuator_delay,1,0.00848955699686613,0.241176290055368,0.00938633549327993,900.981045732768,1,none
combined,5,Actuator_delay,1,0.00948084954942652,0.254993309539143,0.00884402632914398,920.592126184049,1,none
combined,6,Actuator_delay,1,0.00860158452684234,0.243375814365186,0.00750617351114463,1021.59981594664,1,none
combined,7,Actuator_delay,1,0.00860559569781115,0.248447217669891,0.0088376543686623,1032.24351810246,1,none
combined,8,Actuator_delay,1,0.00901051255143051,0.247337807422325,0.00840768491754834,950.854499803279,1,none
combined,9,Actuator_delay,1,0.00800564651956389,0.241440645161209,0.00896977910773161,1043.97195013073,1,none
combined,10,Actuator_delay,1,0.00670979065709193,0.223445289127185,0.0102271556276364,1047.46287536466,1,none
mass25,0,Friction,0,0.00525995603853979,0.195828934883071,0.0115670065594305,1267.85119803491,1,none
mass25,1,Friction,1,0.00606750260148606,0.202867900616484,0.0105023621763872,1171.47429041082,1,none
mass25,2,Friction,1,0.00549956834939125,0.192949225610323,0.011490857258071,748.029971676707,1,none
mass25,3,Friction,1,0.00553427378436715,0.199236464710948,0.0117359193641143,1065.21622596951,1,none
mass25,4,Friction,1,0.00515336339989794,0.196735199656734,0.0115811164167059,1169.0766374055,1,none
mass25,5,Friction,1,0.00600380980520677,0.203142654182215,0.00983016128261361,1045.54611481496,1,none
mass25,6,Friction,1,0.00571866657624539,0.198590056478496,0.0112601780348317,1029.0017840311,1,none
mass25,7,Friction,1,0.00598395402978763,0.20535708127383,0.0118631146931148,923.869930504618,1,none
mass25,8,Friction,1,0.00541361708791292,0.199210481678062,0.0104683578716073,1191.81869517757,1,none
mass25,9,Friction,1,0.00535525146868149,0.201458976160119,0.0116929785091534,1127.25471446862,1,none
mass25,10,Friction,1,0.00471570560275392,0.189578314365092,0.0128425552328868,1011.66675600887,1,none
combined,0,Friction,0,0.00528220037421684,0.196334908225848,0.011676246043585,1060.12944264956,1,none
combined,1,Friction,1,0.00604637727588094,0.203978001423724,0.0108236332643726,1016.74563555267,1,none
combined,2,Friction,1,0.00551053169983388,0.192685533724069,0.0114220341765597,606.59667627615,1,none
combined,3,Friction,1,0.00556778853660801,0.198743822509706,0.0116286753802052,860.729646429017,1,none
combined,4,Friction,1,0.00526869739295101,0.19713441007114,0.0117095981366663,1019.13029641732,1,none
combined,5,Friction,1,0.00605640770556388,0.204645063210045,0.00949739926070926,892.381452711169,1,none
combined,6,Friction,1,0.00570191348392047,0.199878391304833,0.0117367706644741,937.792967724462,1,none
combined,7,Friction,1,0.00602228204253746,0.205853339148116,0.0119905514165263,816.074659127727,1,none
combined,8,Friction,1,0.00546145913126707,0.198613576269777,0.0103686667881994,1067.90154843102,1,none
combined,9,Friction,1,0.00529091350999771,0.201164840815713,0.0118296737677037,980.623015661264,1,none
combined,10,Friction,1,0.00479227015447497,0.189262198472821,0.0128262267221914,883.503429437984,1,none
mass25,0,CDR2-4,0,0.00456930472584344,0.192065534696069,0.0112325200961449,1474.94455151029,1,none
mass25,1,CDR2-4,1,0.00551866697447721,0.205027269523086,0.0106126498869422,1279.90897035485,1,none
mass25,2,CDR2-4,1,0.00504496393242061,0.197158246564396,0.0108888163838187,1183.59470042434,1,none
mass25,3,CDR2-4,1,0.00486653927239539,0.196840268410836,0.0117803714063194,1317.02579664503,1,none
mass25,4,CDR2-4,1,0.00496758246954186,0.196879440226494,0.0117594138488995,1308.89962218349,1,none
mass25,5,CDR2-4,1,0.00541806064295043,0.203345809044778,0.00960559169278944,1263.18430196048,1,none
mass25,6,CDR2-4,1,0.00520130185871197,0.199149465571862,0.0108976575491954,1253.53731652306,1,none
mass25,7,CDR2-4,1,0.0049414054494824,0.196399762407189,0.0116072985740094,1145.57972105577,1,none
mass25,8,CDR2-4,1,0.00527669209788235,0.201290298268743,0.0105482964370272,1331.20685648767,1,none
mass25,9,CDR2-4,1,0.00482186826184776,0.196294607327952,0.011697194462935,1306.7733868102,1,none
mass25,10,CDR2-4,1,0.00438722579062266,0.18973461849816,0.0124600319797509,1218.12889124829,1,none
combined,0,CDR2-4,0,0.00460288936962765,0.192430516192439,0.0117188423688211,1470.63581151566,1,none
combined,1,CDR2-4,1,0.00560219451914154,0.206383227680922,0.0111465179103384,1191.43632616393,1,none
combined,2,CDR2-4,1,0.00514409115620104,0.19799039924216,0.0115396494313406,1109.0945778721,1,none
