SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode:   1/1000 | Episode reward:  -522.98 | Episode steps:  218 | Average reward:  -522.98 | Step Count:  218 | Episode Q0:     0.00
Episode: 141/1000 | Episode reward:   -70.29 | Episode steps:  280 | Average reward:  -210.75 | Step Count: 45989 | Episode Q0:    91.65
Episode: 142/1000 | Episode reward:  -209.16 | Episode steps:  304 | Average reward:  -208.22 | Step Count: 46293 | Episode Q0:    91.65
Episode: 143/1000 | Episode reward:   -10.44 | Episode steps:  340 | Average reward:  -207.21 | Step Count: 46633 | Episode Q0:    91.65
Episode: 144/1000 | Episode reward:  -123.19 | Episode steps:  318 | Average reward:  -206.62 | Step Count: 46951 | Episode Q0:    91.65
Episode: 145/1000 | Episode reward:    14.02 | Episode steps:  263 | Average reward:  -196.83 | Step Count: 47214 | Episode Q0:    99.95
Episode: 146/1000 | Episode reward:   -30.32 | Episode steps:  340 | Average reward:  -192.11 | Step Count: 47554 | Episode Q0:    99.95
Episode: 147/1000 | Episode reward:  -185.57 | Episode steps:  340 | Average reward:  -181.29 | Step Count: 47894 | Episode Q0:    99.95
Episode: 148/1000 | Episode reward:  -153.47 | Episode steps:  321 | Average reward:  -178.53 | Step Count: 48215 | Episode Q0:    99.95
Episode: 149/1000 | Episode reward:    -4.82 | Episode steps:  340 | Average reward:  -170.72 | Step Count: 48555 | Episode Q0:    99.95
Episode: 150/1000 | Episode reward:  -135.20 | Episode steps:  333 | Average reward:  -163.39 | Step Count: 48888 | Episode Q0:    99.95
Episode: 151/1000 | Episode reward:   -44.38 | Episode steps:  329 | Average reward:  -159.26 | Step Count: 49217 | Episode Q0:    99.95
Episode: 152/1000 | Episode reward:  -107.96 | Episode steps:  334 | Average reward:  -156.03 | Step Count: 49551 | Episode Q0:   111.30
Episode: 153/1000 | Episode reward:  -248.13 | Episode steps:  306 | Average reward:  -157.08 | Step Count: 49857 | Episode Q0:   111.30
Episode: 154/1000 | Episode reward:  -237.54 | Episode steps:  251 | Average reward:  -155.80 | Step Count: 50108 | Episode Q0:   111.30
Episode: 155/1000 | Episode reward:  -241.18 | Episode steps:  320 | Average reward:  -157.85 | Step Count: 50428 | Episode Q0:   111.30
Episode: 156/1000 | Episode reward:  -330.13 | Episode steps:  304 | Average reward:  -158.81 | Step Count: 50732 | Episode Q0:   111.30
Episode: 157/1000 | Episode reward:    25.94 | Episode steps:  340 | Average reward:  -149.93 | Step Count: 51072 | Episode Q0:   111.30
Episode: 158/1000 | Episode reward:    16.94 | Episode steps:  340 | Average reward:  -144.05 | Step Count: 51412 | Episode Q0:   111.30
Episode: 159/1000 | Episode reward:   146.55 | Episode steps:  340 | Average reward:  -126.09 | Step Count: 51752 | Episode Q0:   112.91
Episode: 160/1000 | Episode reward:  -133.67 | Episode steps:  340 | Average reward:  -121.77 | Step Count: 52092 | Episode Q0:   112.91
Episode: 161/1000 | Episode reward:   490.21 | Episode steps:  340 | Average reward:   -96.95 | Step Count: 52432 | Episode Q0:   112.91
Episode: 162/1000 | Episode reward:  -337.59 | Episode steps:  301 | Average reward:  -107.72 | Step Count: 52733 | Episode Q0:   112.91
Episode: 163/1000 | Episode reward:   155.98 | Episode steps:  340 | Average reward:   -91.90 | Step Count: 53073 | Episode Q0:   112.91
Episode: 164/1000 | Episode reward:  -143.36 | Episode steps:  269 | Average reward:   -84.02 | Step Count: 53342 | Episode Q0:   112.91
Episode: 165/1000 | Episode reward:   -13.56 | Episode steps:  338 | Average reward:   -76.41 | Step Count: 53680 | Episode Q0:   112.91
Episode: 166/1000 | Episode reward:   184.02 | Episode steps:  340 | Average reward:   -66.24 | Step Count: 54020 | Episode Q0:   127.31
Episode: 167/1000 | Episode reward:  -145.99 | Episode steps:  340 | Average reward:   -63.71 | Step Count: 54360 | Episode Q0:   127.31
Episode: 168/1000 | Episode reward:   290.06 | Episode steps:  340 | Average reward:   -51.69 | Step Count: 54700 | Episode Q0:   127.31
Episode: 169/1000 | Episode reward:    -4.98 | Episode steps:  284 | Average reward:   -46.97 | Step Count: 54984 | Episode Q0:   127.31
Episode: 170/1000 | Episode reward:    25.24 | Episode steps:  340 | Average reward:   -46.52 | Step Count: 55324 | Episode Q0:   127.31
Episode: 171/1000 | Episode reward:   241.60 | Episode steps:  340 | Average reward:   -35.64 | Step Count: 55664 | Episode Q0:   127.31
Episode: 172/1000 | Episode reward:   -74.52 | Episode steps:  340 | Average reward:   -31.20 | Step Count: 56004 | Episode Q0:   127.31
Episode: 173/1000 | Episode reward:    52.50 | Episode steps:  313 | Average reward:   -22.96 | Step Count: 56317 | Episode Q0:   130.49
Episode: 174/1000 | Episode reward:  -159.53 | Episode steps:  315 | Average reward:   -29.15 | Step Count: 56632 | Episode Q0:   130.49
Episode: 175/1000 | Episode reward:   -34.70 | Episode steps:  316 | Average reward:   -25.13 | Step Count: 56948 | Episode Q0:   130.49
Episode: 176/1000 | Episode reward:   -18.94 | Episode steps:  301 | Average reward:   -24.11 | Step Count: 57249 | Episode Q0:   130.49
Episode: 177/1000 | Episode reward:   226.64 | Episode steps:  340 | Average reward:   -10.73 | Step Count: 57589 | Episode Q0:   130.49
Episode: 178/1000 | Episode reward:   545.69 | Episode steps:  340 | Average reward:    21.03 | Step Count: 57929 | Episode Q0:   130.49
Episode: 179/1000 | Episode reward:   286.16 | Episode steps:  340 | Average reward:    41.98 | Step Count: 58269 | Episode Q0:   130.49
Episode: 180/1000 | Episode reward:   575.40 | Episode steps:  340 | Average reward:    74.64 | Step Count: 58609 | Episode Q0:   139.56
Episode: 181/1000 | Episode reward:   244.12 | Episode steps:  340 | Average reward:    97.61 | Step Count: 58949 | Episode Q0:   139.56
Episode: 182/1000 | Episode reward:  -109.76 | Episode steps:  277 | Average reward:    92.18 | Step Count: 59226 | Episode Q0:   139.56
Episode: 183/1000 | Episode reward:   615.44 | Episode steps:  340 | Average reward:   116.12 | Step Count: 59566 | Episode Q0:   139.56
Episode: 184/1000 | Episode reward:   225.37 | Episode steps:  340 | Average reward:   119.27 | Step Count: 59906 | Episode Q0:   139.56
Episode: 185/1000 | Episode reward:  -164.71 | Episode steps:  340 | Average reward:   118.03 | Step Count: 60246 | Episode Q0:   139.56
